hcpcs_code,claim_month,total_paid,total_claims,total_beneficiaries
T1019,2024-05,2223192489.4000006,16668403,820816
T1019,2024-07,2209225707.8300014,15774135,775502
T1019,2024-03,2158419614.169999,16268673,815880
T1019,2024-06,2118377806.999999,15206151,773575
T1019,2024-04,2099837675.6999986,16059735,815162
T1019,2024-01,2099297423.6900008,16391797,805717
T1019,2024-10,2076279349.7800014,15180575,777163
T1019,2023-12,2049403327.479999,15995915,798390
T1019,2024-02,2014618072.6700003,15671582,813044
T1019,2023-10,1995215265.3500009,16196481,798035
T1019,2024-08,1961218757.3799994,14592971,749781
T1019,2023-11,1961092146.0300019,15677405,797293
T1019,2023-08,1954830958.6199992,15410003,771632
T1019,2023-09,1954080914.8300014,15593188,778682
T1019,2024-11,1943319040.9799995,13942183,757035
T1019,2024-09,1924680949.920001,14563642,775004
T1019,2023-05,1920649705.849999,15962920,774358
T1019,2023-03,1916480393.7000015,16013681,763967
T1019,2023-07,1895951935.5299969,14485249,713341
T1019,2023-06,1875360983.1299999,14436404,723561
T1019,2023-04,1818668174.850002,15158999,769081
T1019,2023-01,1812511631.5599992,15282261,748035
T1019,2022-12,1801026700.2800004,14662868,733538
T1019,2022-10,1766322272.9899979,14671396,734478
T1019,2022-11,1750412353.8200006,14438315,730427
T1019,2023-02,1681756499.1900008,14149452,752597
T1019,2022-08,1667130075.5099986,14420608,704373
T1019,2022-07,1658647823.8399978,13913471,664331
T1019,2022-09,1635937475.6800008,14352899,710438
T1019,2022-05,1622900914.4700003,15085090,717301
T1019,2022-03,1604176169.23,14844406,706254
T1019,2022-06,1597830359.2299993,13850766,674542
T1019,2022-04,1587831219.8899992,14823394,711852
T1019,2021-12,1550001009.0700002,14262657,713151
T1019,2021-10,1529042092.0600007,14195350,694715
T1019,2022-01,1518041760.7300005,13915508,693334
T1019,2021-11,1494154331.839999,13881230,695886
T1019,2021-07,1478382187.8900003,13327868,635480
T1019,2021-08,1466184926.4300003,13612001,672671
T1019,2021-09,1456202384.1000004,13690418,681126
T1019,2021-03,1439510744.73,13990776,669521
T1019,2021-05,1437816157.3399994,13703153,673439
T1019,2022-02,1434899695.9399993,13207038,696342
T1019,2021-04,1415373153.6500006,13714737,675040
T1019,2020-12,1411389352.2399993,13446419,652115
T1019,2020-10,1404026406.7600002,13234628,641249
T1019,2021-06,1399486626.2300003,12844776,646673
T1019,2021-01,1397751935.7099993,13355558,657786
T1019,2020-01,1373484469.4699981,13626802,673433
T1019,2020-11,1360496947.55,12947595,655554
T1019,2019-10,1352909995.8600006,13989307,682252
T1019,2020-07,1338332181.9100013,11981535,573592
T1019,2020-09,1329620004.9399993,12566848,625397
T1019,2020-08,1328829256.220001,12067852,603125
T1019,2020-03,1327793055.1999998,12407512,663135
T1019,2019-12,1320600468.5299995,12953954,668035
T1019,2019-11,1319565875.0399995,12952953,667314
T1019,2020-05,1304431112.7499993,11782369,568705
T1019,2021-02,1281722987.410001,12207130,657774
T1019,2020-02,1279884487.9899998,12668500,671578
T1019,2020-06,1262318844.0400002,11321917,563398
T1019,2020-04,1233470135.16,11261108,567544
T1019,2019-09,1177368024.8100007,12332773,651570
T1019,2019-05,1131583885.26,12408963,614665
T1019,2019-08,1130230764.34,11454794,610517
T1019,2019-03,1090890406.11,11593593,595529
T1019,2019-07,1077963487.1899996,10605169,535461
T1019,2019-01,1073051793.1499997,11703205,585292
T1019,2019-04,1072850104.5199997,12063944,609587
T1019,2019-06,1049152672.1299993,10514905,546179
T1019,2019-02,993664910.9800007,10875513,590705
T1019,2018-12,926485517.76,10445898,554206
T1019,2018-11,904230834.2399997,10271459,536681
T1019,2018-10,886847895.0399998,10660721,531707
T1019,2018-08,845362123.4300002,9423542,497007
T1019,2018-09,829775755.2100004,9688945,507263
T1019,2018-05,819798524.8400002,9924407,501746
T1015,2023-03,810291786.5899996,5090526,3730703
T1015,2024-04,808159760.6400001,4552730,3377174
T1019,2018-07,804866718.0500003,8654605,442117
T1015,2024-05,804829953.8599997,4426702,3281831
T1015,2024-10,804484515.3499995,4159943,3118842
T1015,2024-01,787703799.11,4491287,3359639
T1019,2018-04,781681093.63,9584214,500569
T1019,2018-06,778859767.8800001,8345083,454822
T1015,2024-02,777221411.5399995,4488826,3367451
