billing_npi,state,specialty,paid_2023,paid_2024,growth,peers,z_growth
1699327726,TX,Other,0.01,220.56,22055.0,4578,67.5092339988671
1457829731,CA,Other,143.26999999999998,492603.04999999993,3437.284707196203,5587,64.06390975999751
1306929013,NY,Other,319.0,594065.14,1861.2731661442006,6425,55.39003577680734
1598296477,NY,Other,1.32,2447.7799999999997,1853.3787878787875,6425,55.15492582230067
1437873957,FL,Other,14.06,79731.41,5669.7972972972975,2796,51.40253474028864
1144481748,NY,Internal Medicine,1.24,859.66,692.2741935483871,3262,49.56379780579234
1033726815,MI,Other,0.02,7074.88,353743.0,1820,42.637971103625354
1942990015,IL,Family NP,219.42000000000002,203400.55,925.9918421292497,1622,38.23530981462923
1497960066,CA,Dentist,206.25,213552.20999999996,1034.4046545454544,1476,36.05340099502951
1770528648,MD,Other,2.12,11578.99,5460.787735849056,1303,36.00025586199183
1437194503,PA,Other,12.3,51789.18,4209.50243902439,2694,35.813708136042365
1639766736,CO,Other,0.1,24723.22,247231.2,1255,35.39769615887744
1093756207,PA,Family Medicine,13.2,4578.1900000000005,345.8325757575758,1545,34.8681553482286
1417510868,NY,Family Medicine,1.45,2165.92,1492.737931034483,1218,34.46985811960167
1164201612,IN,Other,230.64,170552.61000000002,738.4754162330906,1168,33.58444079056469
1861404139,TN,Other,24.99,85445.34999999999,3418.1816726690677,1073,32.690886332156715
1407523160,NC,Other,10998.7,3434449.96,311.2596270468328,1743,31.540303992169804
1275219073,MO,Other,262.34,574009.3,2187.035755126935,882,29.630784488274777
1033346846,PR,Other,22.17,19425.84,875.2219215155615,1093,29.405135130262746
1811121726,IL,Other,7104.05,1172890.5499999996,164.10167439699885,4835,27.369686478583766
1699870139,CA,Internal Medicine,121.66,31037.989999999998,254.1207463422653,1065,27.08259081030273
1154366193,IL,Family Medicine,351.61,41504.32000000001,117.04078382298572,1633,26.87890342509643
1174869952,IL,Other,842.1200000000001,136357.86000000002,160.92212511281053,4835,26.837164235021415
1366757338,AL,Other,5.02,2910.2599999999998,578.7330677290837,681,25.904014889115103
1548721012,NY,Emergency Medicine,16.78,3347.5200000000004,198.49463647199048,884,25.838411085336773
1790407708,NY,Ophthalmology,145.5,55324.490000000005,379.2370446735396,692,25.573690458714225
1255808408,MA,Other,4784.0,633374.9500000001,131.3944293478261,1706,25.489059891427427
1225070121,NJ,Other,25.35,5733.92,225.19013806706113,1815,24.90073624534248
1780292292,PR,Clinical Lab,172.91,76580.24,441.89075241455095,634,24.86021724005038
1073198602,WA,Other,7907.51,1705065.6,214.62610733340838,860,24.578193284918605
1861482507,PA,Internal Medicine,539.0,95033.95999999999,175.31532467532466,824,24.268054522276113
1174744379,MS,Other,8192.22,1982425.21,240.9887661708304,632,24.01569160611058
1871374140,NJ,Other,1475.0,321815.27,217.17984406779664,1815,24.01200447313476
