billing_npi,hcpcs_code,claim_month,state,specialty,paid,claims,paid_per_claim,median_ppc,peers,ppc_delta,excess_paid,z_ppc
1073854451,H2016,2018-07,NJ,Day Training/Habilitation,27633344.04,5224,5289.690666156202,346.9355096663932,30,4942.7551564898085,25820952.93750276,2.981869555493141
1073854451,H2016,2018-08,NJ,Day Training/Habilitation,23133476.59,4419,5235.002622765332,344.12901205328205,32,4890.873610712049,21612770.485736545,3.0475255845253617
1073854451,H2016,2018-09,NJ,Day Training/Habilitation,19138487.3,3737,5121.350628846669,348.4866770759404,33,4772.863951770729,17836192.587767214,3.2016019736539385
1073854451,H2016,2018-10,NJ,Day Training/Habilitation,17244767.73,3393,5082.454385499558,351.9866309874231,33,4730.467754512135,16050477.091059674,2.6170955747119837
1073854451,H2016,2018-11,NJ,Day Training/Habilitation,15200724.23,3413,4453.772115440961,345.69199695555983,34,4108.080118485401,14020877.444390673,1.9897859676406249
1073854451,H2016,2018-12,NJ,Day Training/Habilitation,14281405.66,3177,4495.248870003148,339.5847563680807,34,4155.664113635067,13202544.889018608,2.8101072500508835
1073854451,H2016,2019-01,NJ,Day Training/Habilitation,12895978.59,2454,5255.085,328.10791009463725,35,4926.977089905363,12090801.77862776,3.141141416359331
1376263657,H0015,2023-03,AZ,Mental Health Center,12280591.25,2605,4714.238483685221,752.5710835654595,34,3961.667400119761,10320143.577311978,1.9223366262156765
1073854451,H2016,2019-02,NJ,Day Training/Habilitation,10810550.54,2345,4610.042874200426,328.2096779808529,35,4281.833196219573,10040898.845134899,3.0160733250485463
1750504064,T2016,2021-12,MA,Case Management Agency,20388591.54,1220,16711.960278688523,8756.247396593675,23,7955.712882094847,9705969.716155713,3.103944351395673
1750504064,T2016,2021-11,MA,Case Management Agency,20003962.07,1214,16477.728228995056,8561.30181122449,23,7916.426417770566,9610541.671173468,3.0995788102121886
1750504064,T2016,2021-10,MA,Case Management Agency,20554497.98,1199,17143.03417848207,9225.313111702128,23,7917.721066779943,9493347.559069151,2.985054693255749
