rank,npi,name,state,total_impact,confidence,num_methods,primary_method,actionable_notes
1,1699703827,LOS ANGELES COUNTY DEPARTMENT OF MENTAL HEALTH,CA,5470622023.55,high,19,composite_multi_signal,High confidence; 3+ independent signals; Network or middleman billing pattern; Billed every day; Public entity; policy review likely
2,1629436241,"DEPARTMENT OF INTELLECTUAL AND DEVELOPMENTAL DISABILITIES, STATE OF TN",TN,2310755441.91,high,12,composite_multi_signal,High confidence; 3+ independent signals; Network or middleman billing pattern; Public entity; policy review likely
3,1982757688,ALABAMA DEPARTMENT OF MENTAL HEALTH AND MENTAL RETARDATION,AL,2143903298.03,high,11,composite_multi_signal,High confidence; 3+ independent signals; Public entity; policy review likely
4,1356709976,"DEPARTMENT OF INTELLECTUAL AND DEVELOPMENTAL DISABILITIES, STATE OF TN",TN,1360272633.69,high,10,composite_multi_signal,High confidence; 3+ independent signals; Network or middleman billing pattern; Public entity; policy review likely
5,1710176151,GUARDIANTRAC. LLC,MI,1316290874.63,high,15,composite_multi_signal,High confidence; 3+ independent signals; Network or middleman billing pattern; Billed every day; Sudden growth or stop pattern
6,1376554592,CITY OF CHICAGO,IL,1159564616.53,high,9,composite_temporal_plus_statistical,High confidence; 3+ independent signals; Sudden growth or stop pattern; Public entity; policy review likely
7,1750504064,DEPARTMENT OF DEVELOPMENTAL SERVICES,MA,1077098762.38,high,13,composite_multi_signal,High confidence; 3+ independent signals; Network or middleman billing pattern; Public entity; policy review likely
8,1326168840,DEPARTMENT OF HEALTH AND SENIOR SERVICES,NJ,973772850.97,high,7,composite_network_plus_volume,High confidence; 3+ independent signals; Network or middleman billing pattern; Public entity; policy review likely
9,1932341898,"MAINS'L FLORIDA, INC.",MN,973247194.73,high,7,kickback_premium,High confidence; 3+ independent signals; Sudden growth or stop pattern
10,1083783013,"NEW PARTNERS, INC",NY,911568858.38,high,11,composite_multi_signal,High confidence; 3+ independent signals; Billed every day; Sudden growth or stop pattern
11,1518096411,COMMONWEALTH OF MASSACHUSETS,MA,887860902.90,high,12,high_risk_category,High confidence; 3+ independent signals; Network or middleman billing pattern
12,1134250475,COMMONWEALTH OF MASS-DDS,MA,862379277.84,high,10,high_risk_category,High confidence; 3+ independent signals
13,1396049987,COMMUNITY ASSISTANCE RESOURCES & EXTENDED SERVICES INC,NY,802978391.72,high,12,shared_bene_count,High confidence; 3+ independent signals; Sudden growth or stop pattern
14,1124494059,TENNESSEE DEPARTMENT OF CHILDREN'S SERVICES,TN,765081317.55,high,6,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern; Public entity; policy review likely
15,1245354000,COMMONWEALTH OF MASSACHUSETTS-DDS,MA,753672172.01,high,7,high_risk_category,High confidence; 3+ independent signals
16,1538649983,CONSUMER DIRECT CARE NETWORK VIRGINIA,MT,674831383.69,high,14,composite_multi_signal,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
17,1104963347,COUNTY OF ORANGE,CA,667219214.94,high,6,upcoding,High confidence; 3+ independent signals; Implausible volume or upcoding signal; Public entity; policy review likely
18,1043386659,COUNTY OF SACRAMENTO,CA,641858065.67,high,6,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern; Public entity; policy review likely
19,1124304621,"PUBLIC PARTNERSHIPS-COLORADO, INC.",MA,625576846.93,high,6,high_risk_category,High confidence; 3+ independent signals; Public entity; policy review likely
20,1306875695,"YOUTH VILLAGES, INC.",TN,595778624.47,high,6,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
21,1720145378,ACUMEN FISCAL AGENT LLC,AZ,567186839.52,high,5,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
22,1952346876,"AOC TX, LLC",TX,545994209.31,high,8,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
23,1720121106,"BANCROFT, A NEW JERSEY NONPROFIT CORPORATION",NJ,515043587.36,high,7,high_risk_category,High confidence; 3+ independent signals; Sudden growth or stop pattern
24,1780045542,NV ST DV MH DS DESERT DEV CENTER,NV,512611425.03,high,7,address_cluster_flagged,High confidence; 3+ independent signals; Network or middleman billing pattern
25,1417099789,CITY & COUNTY OF SAN FRANCISCO,CA,502376163.68,high,8,new_relationship_high_volume,High confidence; 3+ independent signals; Public entity; policy review likely
26,1053641498,CENTRIA HEALTHCARE LLC,MI,500409741.44,high,4,iqr_outlier,High confidence; 3+ independent signals
27,1073730347,MA-DEPARTMENT OF SOCIAL SERVICES-REHAB,MA,487108145.61,high,4,shared_bene_count,High confidence; 3+ independent signals; Public entity; policy review likely
28,1164535274,ZOLL SERVICES LLC,PA,486279019.99,high,5,hhi_per_code,High confidence; 3+ independent signals
29,1558672279,"NATERA, INC.",CA,476952884.34,high,6,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
30,1881708899,SHIELD CALIFORNIA HEALTH CARE CENTER INC,CA,473066885.12,high,3,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern
31,1134152986,NATIONWIDE CHILDREN'S HOSPITAL,OH,447001335.66,high,9,isolation_forest,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
32,1275849283,"DAP HEALTH, INC.",CA,445418727.33,high,5,change_point_cusum,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
33,1932721834,"ARION CARE SOLUTIONS, LLC",AZ,440712652.57,high,4,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
34,1780630608,RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,VA,439701083.46,high,7,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern; Public entity; policy review likely
35,1760480503,PHOENIX CHILDREN'S HOSPITAL,AZ,435255346.19,high,5,address_cluster_flagged,High confidence; 3+ independent signals
36,1518911338,UNIVERSITY OF KENTUCKY,KY,427258108.71,high,5,address_cluster_flagged,High confidence; 3+ independent signals; Public entity; policy review likely
37,1801027404,"CONSUMER DIRECTED SERVICES IN TEXAS, INC.",TX,415505020.13,high,7,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
38,1184779332,SCOTTISH RITE CHILDREN'S MEDICAL CENTER,GA,387941198.32,high,8,new_relationship_high_volume,High confidence; 3+ independent signals; Implausible volume or upcoding signal
39,1528263910,COUNTY OF SANTA CLARA,CA,387812060.05,high,14,composite_multi_signal,High confidence; 3+ independent signals; Billed every day; Sudden growth or stop pattern; Public entity; policy review likely
40,1861506560,CHILDREN'S HOSPITAL MEDICAL CENTER OF AKRON,OH,378739452.32,high,9,address_cluster_flagged,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
41,1063436723,"WALL RESIDENCES, LLC",VA,375708244.34,high,7,high_risk_category,High confidence; 3+ independent signals
42,1114931391,TEXAS DEPARTMENT OF STATE HEALTH,TX,369781560.58,high,10,hhi_per_code,High confidence; 3+ independent signals; Sudden growth or stop pattern; Public entity; policy review likely
43,1447886288,STATE OF MISSOURI,MO,363233053.45,high,7,address_cluster_flagged,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern; Public entity; policy review likely
44,1023140498,COMMONWEALTH OF MASSACHUSETTS-DDS,MA,352577622.02,high,5,iqr_outlier,High confidence; 3+ independent signals
45,1942339825,COMMONWEALTH OF MASSACHUSETTS,MA,348052666.07,high,4,iqr_outlier,High confidence; 3+ independent signals
46,1528281532,DEPARTMENT OF DEVELOPMENTAL SERVICES,MA,342161747.93,high,6,shared_bene_count,High confidence; 3+ independent signals; Public entity; policy review likely
47,1821456526,COMMUNITY ACCESS UNLIMITED,NJ,330405002.04,high,6,high_risk_category,High confidence; 3+ independent signals; Sudden growth or stop pattern
48,1982735643,COMMONWEALTH OF MASS-DDS,MA,327730824.72,high,5,iqr_outlier,High confidence; 3+ independent signals
49,1982747192,STATE OF ALABAMA DEPARTMENT OF PUBLIC HEALTH,AL,313546146.22,high,7,captive_referral,High confidence; 3+ independent signals; Sudden growth or stop pattern; Public entity; policy review likely
50,1730451071,"COORDINATED BEHAVIORAL CARE, INC",NY,308822248.25,high,5,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
51,1184703415,"CONCEPTS OF INDEPENDENCE, INC.",NY,307105980.34,high,7,high_risk_category,High confidence; 3+ independent signals; Billed every day; Sudden growth or stop pattern
52,1316943566,"ACADIAN AMBULANCE SERVICE, INC.",LA,306913430.23,high,3,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
53,1801276738,"PALCO, INC.",AR,304254032.30,high,7,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
54,1417349622,THE COLLABORATIVE FOR CHILDREN AND FAMILIES,NY,301611959.87,high,6,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
55,1326111337,ALABAMA DEPARTMENT OF SENIOR SERVICES,AL,300283040.30,high,5,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern; Public entity; policy review likely
56,1245414721,"CAREGIVER HOMES OF MASSACHUSETTS, INC",MA,298042183.05,high,3,gev_extreme_value,High confidence; 3+ independent signals
57,1053688572,NORTH SHORE-LIJ MEDICAL PC,NY,298006865.81,high,6,upcoding,High confidence; 3+ independent signals; Network or middleman billing pattern; Implausible volume or upcoding signal; Sudden growth or stop pattern
58,1770795536,MISSISSIPPI DEPARTMENT OF REHABILITAION SVS,MS,294081421.23,high,3,iqr_outlier,High confidence; 3+ independent signals; Public entity; policy review likely
59,1114058872,COMMONWEALTH OF MASS-DDS,MA,294040206.83,high,5,iqr_outlier,High confidence; 3+ independent signals
60,1083715460,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,NY,293612753.98,medium,2,gev_extreme_value,Public entity; policy review likely
61,1386773273,COMMONWEALTH OF MASSACHUSETTS,MA,289501276.30,high,4,iqr_outlier,High confidence; 3+ independent signals
62,1659769446,"BRIGHTVIEW, LLC",OH,288640667.17,high,8,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
63,1609099910,DEPARTMENT OF DEVELOPMENTAL SERVICES,MA,288146415.05,high,3,iqr_outlier,High confidence; 3+ independent signals; Public entity; policy review likely
64,1679524961,"LEGACY COMMUNITY HEALTH SERVICES, INC",TX,285336910.40,high,8,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
65,1437175734,VIRGINIA COMMONWEALTH UNIVERSITY HEALTH SYSTEM AUTHORITY,VA,284182744.88,high,7,address_cluster_flagged,High confidence; 3+ independent signals; Sudden growth or stop pattern; Public entity; policy review likely
66,1720151046,PREMIER HOME HEALTH CARE SERVICES INC,NY,283099375.99,high,9,composite_multi_signal,High confidence; 3+ independent signals; Billed every day
67,1588157424,"BHPN, LLC",CA,282136147.58,high,8,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
68,1295869428,COMMONWEALTH OF MASSACHUSETTS-DDS,MA,281166435.77,high,5,iqr_outlier,High confidence; 3+ independent signals
69,1447641493,"CHHUNY, LLC",NY,280032276.09,high,6,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
70,1407855240,"ROCKY MOUNTAIN HOLDINGS, LLC",AL,279706343.54,medium,2,gev_extreme_value,Statistical outlier vs peers
71,1770700221,HOWARD CENTER INC,VT,279029128.73,high,3,new_relationship_high_volume,High confidence; 3+ independent signals
72,1124231782,"MOORE CENTER SERVICES, INC.",NH,277967582.02,high,4,gev_extreme_value,High confidence; 3+ independent signals
73,1114070752,NATIONAL MENTOR HEALTHCARE,AZ,274644575.92,medium,2,iqr_outlier,Statistical outlier vs peers
74,1518022763,"GRANITE BAY CARE, INC",ME,270306343.13,high,7,random_forest,High confidence; 3+ independent signals; Sudden growth or stop pattern
75,1437156635,"EASTER SEALS DELAWARE & MARYLANDS EASTERN SHORE, INC",DE,270083295.81,high,5,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
