npi,name,state,confidence,total_impact,systemic_impact_raw,weighted_impact,score,weighted_score,num_methods,primary_method,methods,hypothesis_ids,state_quality_weight
STATE_NY_T1019,"NY - Personal care services, per 15 minutes, not for an inpatient",NY,medium,0.0,38560127972.77,0.0,2.0703,1.9022,1,state_spending_anomaly,state_spending_anomaly,H0971,0.9188
STATE_NJ_H2016,"NJ - Comprehensive community support services, per diem",NJ,medium,0.0,6947732182.21,0.0,4.9945,4.5634,1,state_spending_anomaly,state_spending_anomaly,H0971,0.9137
PAIR_99242_H2015,,,medium,0.0,3627911888.08,0.0,0.9942,0.9942,1,association_rules,association_rules,H1088,1.0
PAIR_99350_H2015,,,medium,0.0,3566513816.78,0.0,0.9918,0.9918,1,association_rules,association_rules,H1088,1.0
STATE_NY_T1020,"NY - Personal care services, per diem, not for an inpatient or re",NY,medium,0.0,3487485115.93,0.0,4.0445,3.7161,1,state_spending_anomaly,state_spending_anomaly,H0972,0.9188
PAIR_T2016_T5999,,,medium,0.0,3052580449.36,0.0,0.98,0.98,1,association_rules,association_rules,H1088,1.0
PAIR_99345_H2015,,,medium,0.0,3024547413.8,0.0,0.9924,0.9924,1,association_rules,association_rules,H1088,1.0
PAIR_99253_H2015,,,medium,0.0,2972487781.39,0.0,0.9956,0.9956,1,association_rules,association_rules,H1088,1.0
PAIR_99243_H2015,,,medium,0.0,2806115661.75,0.0,0.9985,0.9985,1,association_rules,association_rules,H1088,1.0
PAIR_99252_H2015,,,medium,0.0,2742036081.44,0.0,0.9938,0.9938,1,association_rules,association_rules,H1088,1.0
PAIR_99309_H2015,,,medium,0.0,2740575006.54,0.0,0.9973,0.9973,1,association_rules,association_rules,H1088,1.0
PAIR_99306_H2015,,,medium,0.0,2733604054.49,0.0,0.9979,0.9979,1,association_rules,association_rules,H1088,1.0
PAIR_99307_H2015,,,medium,0.0,2733494285.9,0.0,0.9978,0.9978,1,association_rules,association_rules,H1088,1.0
STATE_MI_H2015,"MI - Comprehensive community support services, per 15 minutes",MI,medium,0.0,2693870312.26,0.0,3.7974,3.5752,1,state_spending_anomaly,state_spending_anomaly,H0973,0.9415
STATE_CA_H2010,"CA - Comprehensive medication services, per 15 minutes",CA,medium,0.0,2574556231.42,0.0,5.1799,4.7205,1,state_spending_anomaly,state_spending_anomaly,H0975,0.9113
STATE_MO_T1040,MO - Medicaid certified community behavioral health clinic servic,MO,medium,0.0,2287085337.89,0.0,2.4208,2.1868,1,state_spending_anomaly,state_spending_anomaly,H0973,0.9033
A565813600,NPI A565813600,,high,0.0,2117023476.72,0.0,30.0,30.0,1,geographic_impossibility,geographic_impossibility,H0961,1.0
STATE_VA_T1019,"VA - Personal care services, per 15 minutes, not for an inpatient",VA,medium,0.0,2108982936.32,0.0,2.0164,1.8518,1,state_spending_anomaly,state_spending_anomaly,H0972,0.9184
STATE_LA_S5125,LA - Attendant care services; per 15 minutes,LA,medium,0.0,1955289229.16,0.0,2.2226,2.0728,1,state_spending_anomaly,state_spending_anomaly,H0974,0.9326
STATE_CA_90999,CA - Code 90999,CA,medium,0.0,1739242940.03,0.0,2.1305,1.9415,1,state_spending_anomaly,state_spending_anomaly,H0974,0.9113
STATE_TN_T2033,"TN - Residential care, not otherwise specified (nos), waiver; per",TN,medium,0.0,1697125169.22,0.0,2.2604,2.047,1,state_spending_anomaly,state_spending_anomaly,H0975,0.9056
STATE_VA_H2022,"VA - Community-based wrap-around services, per diem",VA,medium,0.0,1593297203.44,0.0,4.2269,3.882,1,state_spending_anomaly,state_spending_anomaly,H0978,0.9184
STATE_MN_S5140,"MN - Foster care, adult; per diem",MN,medium,0.0,1546172185.31,0.0,3.3033,3.0539,1,state_spending_anomaly,state_spending_anomaly,H0978,0.9245
STATE_CA_T1017,"CA - Targeted case management, each 15 minutes",CA,medium,0.0,1543487790.94,0.0,2.4226,2.2078,1,state_spending_anomaly,state_spending_anomaly,H0976,0.9113
STATE_IA_H2016,"IA - Comprehensive community support services, per diem",IA,medium,0.0,1424615159.05,0.0,2.1444,1.998,1,state_spending_anomaly,state_spending_anomaly,H0976,0.9317
STATE_MI_H2016,"MI - Comprehensive community support services, per diem",MI,medium,0.0,1364477359.58,0.0,2.1066,1.9833,1,state_spending_anomaly,state_spending_anomaly,H0977,0.9415
STATE_CA_H2019,"CA - Therapeutic behavioral services, per 15 minutes",CA,medium,0.0,1340927481.96,0.0,2.8448,2.5924,1,state_spending_anomaly,state_spending_anomaly,H0979,0.9113
STATE_CA_S9484,"CA - Crisis intervention mental health services, per hour",CA,medium,0.0,1216493721.22,0.0,4.5647,4.1598,1,state_spending_anomaly,state_spending_anomaly,H0980,0.9113
STATE_NY_90834,NY - Code 90834,NY,medium,0.0,1168093638.88,0.0,2.471,2.2703,1,state_spending_anomaly,state_spending_anomaly,H0979,0.9188
STATE_ME_T2016,"ME - Habilitation, residential, waiver; per diem",ME,medium,0.0,1159822614.69,0.0,2.0079,1.7881,1,state_spending_anomaly,state_spending_anomaly,H0977,0.8905
STATE_NY_90832,NY - Code 90832,NY,medium,0.0,1134472883.98,0.0,3.3201,3.0505,1,state_spending_anomaly,state_spending_anomaly,H0980,0.9188
A304140100,NPI A304140100,,high,0.0,1121515659.96,0.0,29.0,29.0,1,geographic_impossibility,geographic_impossibility,H0962,1.0
A585713900,NPI A585713900,,high,0.0,826396642.39,0.0,24.0,24.0,1,geographic_impossibility,geographic_impossibility,H0962,1.0
CODE_81420,Genetic code 81420,NA,medium,0.0,631313079.36,0.0,0.6159,0.6159,1,genetic_market_concentration,genetic_market_concentration,H1070,1.0
A302139400,NPI A302139400,,high,0.0,559598867.44,0.0,22.0,22.0,1,geographic_impossibility,geographic_impossibility,H0963,1.0
A779118000,NPI A779118000,,high,0.0,415098705.08,0.0,23.0,23.0,1,geographic_impossibility,geographic_impossibility,H0963,1.0
A397151100,NPI A397151100,,high,0.0,378454977.0,0.0,13.0,13.0,1,geographic_impossibility,geographic_impossibility,H0964,1.0
CODE_81479,Genetic code 81479,NA,medium,0.0,344247682.78,0.0,0.8612,0.8612,1,genetic_market_concentration,genetic_market_concentration,H1070,1.0
CODE_81528,Genetic code 81528,NA,medium,0.0,276973199.29,0.0,0.9999,0.9999,1,genetic_market_concentration,genetic_market_concentration,H1070,1.0
A337499500,NPI A337499500,,high,0.0,241533148.15,0.0,9.0,9.0,1,geographic_impossibility,geographic_impossibility,H0965,1.0
A065813800,NPI A065813800,,high,0.0,182715662.06,0.0,26.0,26.0,1,geographic_impossibility,geographic_impossibility,H0967,1.0
A430617100,NPI A430617100,,high,0.0,139780633.58,0.0,0.1229,0.1229,6,random_forest,code_concentration_per_provider;volume_vs_median;random_forest;abrupt_stop;iqr_outlier;gev_extreme_value,H0195;H0199;H0186;H0544;H0098;H0099;H0301;H0115;H0091;H0198;H0553;H0192;H0547;H0193;H0541;H0549;H0194;H0552;H0197;H0200;H0551;H0092;H0189;H0543;H0095;H0555;H0546;H0673;H0542;H0545;H0188;H0190;H0550;H0187;H0191;H0114;H0548;H0196;H0554,1.0
CODE_81408,Genetic code 81408,NA,medium,0.0,139243052.72,0.0,0.8143,0.8143,1,genetic_market_concentration,genetic_market_concentration,H1070,1.0
CODE_81162,Genetic code 81162,NA,medium,0.0,133812109.08,0.0,0.9042,0.9042,1,genetic_market_concentration,genetic_market_concentration,H1070,1.0
CODE_81416,Genetic code 81416,NA,medium,0.0,110932039.18,0.0,0.9972,0.9972,1,genetic_market_concentration,genetic_market_concentration,H1070,1.0
A668967200,NPI A668967200,,high,0.0,104084198.21,0.0,1.0,1.0,1,captive_servicing,captive_servicing,H1037,1.0
CODE_81519,Genetic code 81519,NA,medium,0.0,95753095.53,0.0,1.0,1.0,1,genetic_market_concentration,genetic_market_concentration,H1070,1.0
A373623700,NPI A373623700,,high,0.0,88963666.05,0.0,8.0,8.0,1,geographic_impossibility,geographic_impossibility,H0970,1.0
CODE_81508,Genetic code 81508,NA,medium,0.0,83620936.9,0.0,0.9942,0.9942,1,genetic_market_concentration,genetic_market_concentration,H1070,1.0
A248023900,NPI A248023900,,high,0.0,71398235.89,0.0,1.0,1.0,4,captive_referral,abrupt_stop;new_relationship_high_volume;captive_referral;gev_extreme_value,H0195;H0199;H0186;H0098;H0099;H0115;H1039;H0198;H0192;H0193;H0100;H0194;H0197;H0200;H0189;H1036;H0188;H0101;H0190;H0187;H0191;H0114;H0196,1.0
CODE_81415,Genetic code 81415,NA,medium,0.0,65597562.35,0.0,0.9575,0.9575,1,genetic_market_concentration,genetic_market_concentration,H1070,1.0
A000027200,NPI A000027200,,high,0.0,60562673.78,0.0,6.8458,6.8458,4,kmeans,abrupt_stop;volume_vs_median;kmeans;gev_extreme_value,H0195;H0199;H0186;H0098;H0099;H0115;H0198;H0192;H0193;H0100;H0725;H0194;H0197;H0200;H0189;H0188;H0101;H0190;H0187;H0191;H0114;H0196;H0306,1.0
CODE_81511,Genetic code 81511,NA,medium,0.0,53021058.76,0.0,0.9193,0.9193,1,genetic_market_concentration,genetic_market_concentration,H1070,1.0
CODE_81229,Genetic code 81229,NA,medium,0.0,46514669.76,0.0,0.5507,0.5507,1,genetic_market_concentration,genetic_market_concentration,H1070,1.0
CODE_81329,Genetic code 81329,NA,medium,0.0,45495407.27,0.0,0.5896,0.5896,1,genetic_market_concentration,genetic_market_concentration,H1070,1.0
CODE_81443,Genetic code 81443,NA,medium,0.0,42946481.37,0.0,0.8341,0.8341,1,genetic_market_concentration,genetic_market_concentration,H1070,1.0
A014098800,NPI A014098800,,high,0.0,33961254.39,0.0,2158321.48,2158321.48,5,new_relationship_high_volume,abrupt_stop;claims_per_bene_vs_median;iqr_outlier;new_relationship_high_volume;gev_extreme_value,H0195;H0199;H0186;H0098;H0099;H1039;H0329;H0198;H0192;H0193;H0194;H0197;H0200;H0189;H0095;H0188;H0190;H0187;H0191;H0196,1.0
A705719901,NPI A705719901,,high,0.0,30440113.83,0.0,2250215.31,2250215.31,4,new_relationship_high_volume,abrupt_stop;iqr_outlier;new_relationship_high_volume;gev_extreme_value,H0195;H0199;H0186;H0098;H0099;H1039;H0198;H0192;H0193;H0194;H0197;H0200;H0189;H0095;H0188;H0190;H0187;H0191;H0196,1.0
CODE_81161,Genetic code 81161,NA,medium,0.0,22940397.31,0.0,0.9221,0.9221,1,genetic_market_concentration,genetic_market_concentration,H1070,1.0
CODE_81507,Genetic code 81507,NA,medium,0.0,22521629.4,0.0,0.896,0.896,1,genetic_market_concentration,genetic_market_concentration,H1070,1.0
CODE_81406,Genetic code 81406,NA,medium,0.0,21148259.11,0.0,0.6627,0.6627,1,genetic_market_concentration,genetic_market_concentration,H1070,1.0
CODE_81226,Genetic code 81226,NA,medium,0.0,16502924.83,0.0,0.9025,0.9025,1,genetic_market_concentration,genetic_market_concentration,H1070,1.0
CODE_81455,Genetic code 81455,NA,medium,0.0,15145512.94,0.0,0.8378,0.8378,1,genetic_market_concentration,genetic_market_concentration,H1070,1.0
A931717100,NPI A931717100,,high,0.0,14968030.99,0.0,1872862.87,1872862.87,2,new_relationship_high_volume,new_relationship_high_volume;gev_extreme_value,H0101;H0114;H0100;H1039;H0098;H0115;H0099,1.0
CODE_81405,Genetic code 81405,NA,medium,0.0,13264992.91,0.0,0.6717,0.6717,1,genetic_market_concentration,genetic_market_concentration,H1070,1.0
CODE_81243,Genetic code 81243,NA,medium,0.0,10901318.56,0.0,0.5117,0.5117,1,genetic_market_concentration,genetic_market_concentration,H1070,1.0
A926147100,NPI A926147100,,high,0.0,3911172.03,0.0,8.4264,8.4264,3,phantom_billing,abrupt_stop;phantom_billing;gev_extreme_value,H0195;H0199;H0186;H0098;H0099;H0115;H0198;H0192;H0193;H0194;H0197;H0200;H0189;H0893;H0188;H0190;H0187;H0191;H0114;H0196,1.0
A426718400,NPI A426718400,,high,0.0,3358826.39,0.0,17.0156,17.0156,3,phantom_billing,abrupt_stop;phantom_billing;gev_extreme_value,H0195;H0199;H0186;H0098;H0099;H0115;H0198;H0192;H0193;H0194;H0197;H0200;H0189;H0893;H0188;H0190;H0187;H0191;H0114;H0196,1.0
A768223900,NPI A768223900,,high,0.0,2061472.5,0.0,11.3189,11.3189,3,phantom_billing,zscore_paid_per_bene;phantom_billing;gev_extreme_value,H0076;H0071;H0088;H0072;H0082;H0087;H0068;H0098;H0099;H0073;H0063;H0085;H0067;H0080;H0081;H0894;H0083;H0066;H0069;H0062;H0065;H0074;H0084;H0089;H0079;H0078;H0077;H0061;H0086;H0070;H0064;H0090;H0075,1.0
A905843500,NPI A905843500,,high,0.0,1958196.74,0.0,12.6952,12.6952,2,phantom_billing,phantom_billing;gev_extreme_value,H0114;H0895;H0098;H0115;H0099,1.0
