specialty,claim_month,total_paid,total_claims,total_beneficiaries,num_providers
Other,2023-03,2386786457.26,47958327,33115329,56209
Other,2024-01,2348062660.67,42803888,29038172,52683
Home Health Agency,2024-07,2347008430.9,17024649,1196641,6797
Other,2023-08,2345749072.4600005,45769804,31605068,54706
Home Health Agency,2024-05,2339327847.4,17160887,1204380,6866
Other,2023-05,2329413450.3499994,45738415,31366391,55252
Other,2023-10,2307917717.3499985,44227130,30485830,53941
Home Health Agency,2024-03,2298633723.5299997,16854158,1200284,6861
Other,2024-04,2294291063.7999983,42471990,28989969,52701
Other,2024-05,2291456893.1999993,41543363,28298822,52341
Other,2024-03,2281368145.0000014,42082080,28549103,52345
Other,2024-02,2257018235.65,41857666,28575413,52444
Home Health Agency,2024-06,2239719190.27,16288380,1176370,6760
Home Health Agency,2024-04,2227101066.7599993,16494462,1206059,6883
Home Health Agency,2024-01,2225684922.72,16844256,1184698,6767
Other,2023-01,2225332422.769998,44811887,30678777,54298
Home Health Agency,2024-10,2224038642.5099998,16235370,1211236,6359
Other,2024-08,2202047783.7099996,39915601,27587545,50956
Other,2023-06,2195145497.4100003,43193232,29598827,53974
Other,2024-07,2185264870.8299994,39794238,27180189,50945
Other,2024-10,2178540120.3100004,39312656,27215125,49910
Other,2023-11,2160865993.2999997,40835148,28098650,52210
Other,2022-08,2154120136.9199996,44964208,30898315,55298
Home Health Agency,2023-12,2153145823.23,16260965,1149662,6633
Other,2023-04,2150056272.1699996,42631141,29178453,53503
Home Health Agency,2024-02,2136784327.2200003,15929038,1185116,6781
Home Health Agency,2024-08,2129896069.61,15648010,1212913,6723
Other,2023-09,2128175854.3800008,40773119,28053740,52123
Home Health Agency,2023-10,2125054943.79,16447909,1175060,6671
Other,2022-03,2118648953.3999999,46353416,31488930,56371
Other,2023-07,2089705526.7899992,40666121,27713286,52260
Other,2022-10,2083526267.5200005,43330399,29861630,54385
Home Health Agency,2023-08,2079154572.9899998,16304438,1166402,6558
Home Health Agency,2023-11,2078181386.4500003,15972953,1156071,6686
Home Health Agency,2024-09,2075524188.2599998,15146346,1209384,6596
Other,2024-06,2065614384.3400002,37223185,25471255,50117
Home Health Agency,2023-09,2064597570.7199996,15972402,1143877,6541
Other,2023-02,2050360195.8700006,41357687,28666871,53207
Home Health Agency,2024-11,2047437266.42,14684917,1030011,5695
Other,2022-11,2047434702.5900016,41874583,28937469,53472
Other,2024-09,2044388052.4900007,36663542,25393239,49186
Other,2023-12,2035682480.48,37767401,25780425,49926
Home Health Agency,2023-05,2032764693.24,16317049,1171545,6503
Home Health Agency,2023-07,2015266768.6100001,15833326,1137816,6497
Other,2022-09,2007231355.0,41732553,28708106,53548
Home Health Agency,2023-03,2007204430.0600004,16165970,1172903,6487
Home Health Agency,2023-06,2006603362.03,15884616,1148959,6529
Other,2022-06,1990555392.589999,42277251,28603401,54203
Other,2022-05,1976597279.18,41919527,28219385,53967
Other,2022-12,1973500842.0099988,40119642,27201881,51939
Other,2022-04,1939069756.3200002,41362869,28170601,53880
Other,2021-03,1930397819.0499978,43082329,29667861,57559
Home Health Agency,2022-12,1928017429.7800002,15598406,1123380,6452
Home Health Agency,2023-01,1925486593.8000004,15858898,1137690,6472
Home Health Agency,2023-04,1918925899.0300007,15398204,1143694,6415
Other,2021-08,1912590697.0199995,42387496,29198510,55330
Home Health Agency,2022-10,1892047631.3499997,15281257,1121337,6478
Other,2022-07,1877509654.6500003,38713578,26210666,52096
Home Health Agency,2022-11,1873816577.6600006,15167710,1122529,6473
Other,2021-10,1872222813.19,41365763,28472792,55117
Other,2022-01,1861939850.420001,39677764,27020328,52631
Other,2021-09,1856483552.6699998,40807284,28102384,54490
Other,2021-06,1829077243.9000013,39830597,27492220,55306
Other,2021-11,1828571275.7999992,40107088,27470472,54674
Other,2021-07,1823691422.4800005,40258926,27354656,54188
Home Health Agency,2022-08,1822367399.01,15666491,1128377,6504
Other,2021-12,1813798144.2599988,39460545,26824468,53195
Other,2021-04,1813202177.06,40175971,27713139,56037
Home Health Agency,2022-07,1798727761.0900002,15321653,1097022,6424
Home Health Agency,2022-05,1786217740.1,15816483,1101583,6472
Home Health Agency,2023-02,1771456066.6000004,14416548,1126021,6451
