hypothesis_id,title,subtitle,card_path,providers,total_impact
H0001,"H0001 — paid per claim far above peers > 3.0 for T1019 (Personal care services, per...)","Top 20 flagged providers · 186 total · $894,920,412 estimated exposure",output/cards/hypotheses/H0001.png,186,894920411.9600002
H0002,"H0002 — paid per claim far above peers > 3.0 for T1015 (Clinic visit/encounter, all-...)","Top 20 flagged providers · 186 total · $1,725,513,688 estimated exposure",output/cards/hypotheses/H0002.png,186,1725513688.06
H0003,H0003 — paid per claim far above peers > 3.0 for 99213 (Code 99213),"Top 20 flagged providers · 1083 total · $2,180,140,499 estimated exposure",output/cards/hypotheses/H0003.png,1083,2180140498.77
H0004,H0004 — paid per claim far above peers > 3.0 for 99214 (Code 99214),"Top 20 flagged providers · 1037 total · $988,060,582 estimated exposure",output/cards/hypotheses/H0004.png,1037,988060582.1599998
H0005,H0005 — paid per claim far above peers > 3.0 for H0015 (Alcohol and/or drug services;...),"Top 20 flagged providers · 40 total · $166,628,723 estimated exposure",output/cards/hypotheses/H0005.png,40,166628723.20000002
H0006,H0006 — paid per claim far above peers > 3.0 for T2003 (Non-emergency transportation;...),"Top 20 flagged providers · 117 total · $100,113,159 estimated exposure",output/cards/hypotheses/H0006.png,117,100113158.75999999
H0007,"H0007 — paid per claim far above peers > 3.0 for T1005 (Respite care services, up to...)","Top 20 flagged providers · 36 total · $41,315,591 estimated exposure",output/cards/hypotheses/H0007.png,36,41315591.34
H0008,H0008 — paid per claim far above peers > 3.0 for 99215 (Code 99215),"Top 20 flagged providers · 273 total · $258,725,877 estimated exposure",output/cards/hypotheses/H0008.png,273,258725877.01
H0009,H0009 — paid per claim far above peers > 3.0 for T2025 (Waiver services; not...),"Top 20 flagged providers · 7 total · $41,012,525 estimated exposure",output/cards/hypotheses/H0009.png,7,41012525.120000005
H0010,H0010 — paid per claim far above peers > 3.0 for 99212 (Code 99212),"Top 20 flagged providers · 597 total · $1,051,166,042 estimated exposure",output/cards/hypotheses/H0010.png,597,1051166042.01
