rank,type,title,score_total,score_impact,score_validation,score_novelty,hypothesis_id,method,num_findings,total_impact,providers,card_path,source_card_path
0,aggregate,Monthly Spending Trend,,,,,,,,,,output/cards/merged/000_aggregate.png,card1-full-monthly-spending.png
1,aggregate,Top Procedures (flagged providers),,,,,,,,,,output/cards/merged/001_aggregate.png,card2-full-top-procedures.png
2,aggregate,Top Providers (flagged),,,,,,,,,,output/cards/merged/002_aggregate.png,card3-full-top-providers.png
3,hypothesis,H0520 — Ghost network indicator: likely shell network_cluster,0.8870,1.0000,1.0000,0.4348,H0520,ghost_network,556521,543129270437,6881,output/cards/merged/003_H0520.png,output/cards/hypotheses/H0520.png
4,hypothesis,H0510 — Ghost network indicator: batch_creation_10,0.8870,1.0000,1.0000,0.4348,H0510,ghost_network,556521,543129270437,6881,output/cards/merged/004_H0510.png,output/cards/hypotheses/H0510.png
5,hypothesis,H0509 — Ghost network indicator: batch_creation_5,0.8870,1.0000,1.0000,0.4348,H0509,ghost_network,556521,543129270437,6881,output/cards/merged/005_H0509.png,output/cards/hypotheses/H0509.png
6,hypothesis,H0514 — Ghost network indicator: phantom_address,0.8870,1.0000,1.0000,0.4348,H0514,ghost_network,556521,543129270437,6881,output/cards/merged/006_H0514.png,output/cards/hypotheses/H0514.png
7,hypothesis,H0515 — Ghost network indicator: ghost_composite_3plus,0.8870,1.0000,1.0000,0.4348,H0515,ghost_network,556521,543129270437,6881,output/cards/merged/007_H0515.png,output/cards/hypotheses/H0515.png
8,hypothesis,H0508 — Ghost network indicator: sequential_npi,0.8870,1.0000,1.0000,0.4348,H0508,ghost_network,556521,543129270437,6881,output/cards/merged/008_H0508.png,output/cards/hypotheses/H0508.png
9,hypothesis,H0507 — Ghost network indicator: identical_pattern,0.8870,1.0000,1.0000,0.4348,H0507,ghost_network,556521,543129270437,6881,output/cards/merged/009_H0507.png,output/cards/hypotheses/H0507.png
10,hypothesis,H0513 — Ghost network indicator: mirror_billing,0.8870,1.0000,1.0000,0.4348,H0513,ghost_network,556521,543129270437,6881,output/cards/merged/010_H0513.png,output/cards/hypotheses/H0513.png
11,hypothesis,H0116 — rare extreme extreme value analysis for Other (paid per claim),0.8414,0.9325,0.9607,0.4348,H0116,gev_extreme,340181,205885284780,403316,output/cards/merged/011_H0116.png,output/cards/hypotheses/H0116.png
12,hypothesis,H0117 — rare extreme extreme value analysis for Other (total_paid),0.8395,0.9287,0.9607,0.4348,H0117,gev_extreme,340182,194901999957,403320,output/cards/merged/012_H0117.png,output/cards/hypotheses/H0117.png
13,hypothesis,H0091 — total_paid exceeding Q3 + 3*outside typical range,0.8288,0.9600,0.4958,1.0000,H0091,iqr_outlier,1000,305806400381,1000,output/cards/merged/013_H0091.png,output/cards/hypotheses/H0091.png
14,hypothesis,H0505 — Ghost network indicator: no_nppes,0.8283,0.9994,0.8055,0.4348,H0505,ghost_network,48569,538189378366,5212,output/cards/merged/014_H0505.png,output/cards/hypotheses/H0505.png
15,hypothesis,H0506 — Ghost network indicator: deactivated_npi,0.8283,0.9994,0.8055,0.4348,H0506,ghost_network,48569,538189378366,5212,output/cards/merged/015_H0506.png,output/cards/hypotheses/H0506.png
