row_number,reason,raw_row
3953,billing_npi;servicing_npi,A981940000|A981940000|T2028|2019-08|2204|118013|7734073.57
4065,billing_npi;servicing_npi,A981940000|A981940000|T2028|2019-07|2153|124672|7581764.36
4182,billing_npi;servicing_npi,A430617100|A430617100|T1019|2019-01|3192|132308|7425985.86
4243,billing_npi;servicing_npi,A430617100|A430617100|T1019|2019-07|3021|103287|7357170.49
4301,billing_npi;servicing_npi,A430617100|A430617100|T1019|2019-03|3149|122378|7302872.31
4392,billing_npi;servicing_npi,A430617100|A430617100|T1019|2019-05|3098|106533|7200294.11
4495,billing_npi;servicing_npi,A430617100|A430617100|T1019|2019-08|2942|89158|7089191.94
4534,billing_npi;servicing_npi,A981940000|A981940000|T2028|2019-09|2225|90584|7053653.14
4545,billing_npi;servicing_npi,A430617100|A430617100|T1019|2019-04|3117|103595|7044094.12
4580,billing_npi;servicing_npi,A430617100|A430617100|T1019|2019-06|3053|163496|7006531.18
4724,billing_npi;servicing_npi,A981940000|A981940000|T2028|2019-06|2082|108772|6861943.32
4953,billing_npi;servicing_npi,A430617100|A430617100|T1019|2019-02|3110|102226|6614004.81
5130,billing_npi;servicing_npi,A981940000|A981940000|T2028|2019-05|1928|110304|6407288.66
5235,billing_npi;servicing_npi,A430617100|A430617100|T1019|2019-09|2758|74375|6303572.14
5396,billing_npi;servicing_npi,A430617100|A430617100|T1019|2018-08|2453|112725|6156752.01
5415,billing_npi;servicing_npi,A430617100|A430617100|T1019|2018-07|2383|93793|6139880.22
5684,billing_npi;servicing_npi,A430617100|A430617100|T1019|2018-12|2434|105423|5909625.29
5733,billing_npi;servicing_npi,A430617100|A430617100|T1019|2018-10|2390|112269|5875733.85
5790,billing_npi;servicing_npi,A981940000|A981940000|T2028|2019-04|1851|131386|5828094.04
5795,billing_npi;servicing_npi,A430617100|A430617100|T1019|2018-06|2363|84626|5825172.98
5819,billing_npi;servicing_npi,A342131700|A342131700|T2028|2018-10|1698|99095|5810256.19
5859,billing_npi;servicing_npi,A430617100|A430617100|T1019|2018-05|2336|80775|5782904.68
5886,billing_npi;servicing_npi,A342131700|A342131700|T2028|2018-08|1590|88259|5764554.82
5895,billing_npi;servicing_npi,A430617100|A430617100|T1019|2018-03|2287|73784|5757352.29
5993,billing_npi;servicing_npi,A430617100|A430617100|T1019|2018-11|2360|101419|5691750.18
6071,billing_npi;servicing_npi,A430617100|A430617100|T1019|2018-09|2392|126342|5637970.42
6135,billing_npi;servicing_npi,A342131700|A342131700|T2028|2018-09|1680|89778|5593086.78
6199,billing_npi;servicing_npi,A430617100|A430617100|T1019|2018-04|2310|70046|5554181.29
6226,billing_npi;servicing_npi,A430617100|A430617100|T1019|2018-01|2206|68120|5541445.18
6314,billing_npi;servicing_npi,A342131700|A342131700|T2028|2018-07|1521|82606|5497051.42
6482,billing_npi;servicing_npi,A342131700|A342131700|T2028|2018-11|1651|97055|5403673.27
7108,billing_npi;servicing_npi,A430617100|A430617100|T1019|2018-02|2255|62800|5086610.11
7130,billing_npi;servicing_npi,A342131700|A342131700|T2028|2018-06|1438|81012|5075975.01
7401,billing_npi;servicing_npi,A342131700|A342131700|T2028|2018-12|1539|91282|4934551.92
7514,billing_npi;servicing_npi,A342131700|A342131700|T2028|2018-05|1384|80475|4878251.10
8154,billing_npi;servicing_npi,A342131700|A342131700|T2028|2018-03|1302|48134|4593780.96
8230,billing_npi;servicing_npi,A981940000|A981940000|T2028|2019-03|1554|105329|4560986.09
8295,billing_npi;servicing_npi,A342131700|A342131700|T2028|2018-04|1345|73845|4533034.33
9105,billing_npi;servicing_npi,A342131700|A342131700|T2028|2018-01|1227|13623|4254685.68
9338,billing_npi;servicing_npi,A342131700|A342131700|T2028|2019-01|1299|70577|4185911.16
9849,billing_npi;servicing_npi,A542640100|A542640100|T2028|2019-07|1192|57599|4027692.71
9988,billing_npi;servicing_npi,A542640100|A542640100|T2028|2019-08|1212|56661|3987940.42
10263,billing_npi;servicing_npi,A514465200|A514465200|T2028|2019-07|1199|55838|3916847.92
10348,billing_npi;servicing_npi,A544125100|A544125100|T2028|2018-07|1091|34645|3893741.98
10512,billing_npi;servicing_npi,A544125100|A544125100|T2028|2018-08|1106|35256|3853849.23
10531,billing_npi;servicing_npi,A542640100|A542640100|T2028|2019-06|1186|54559|3847944.34
10555,billing_npi;servicing_npi,A342131700|A342131700|T2028|2018-02|1256|39425|3840474.11
10624,billing_npi;servicing_npi,A514465200|A514465200|T2028|2019-05|1198|115790|3823961.07
10676,billing_npi;servicing_npi,A542640100|A542640100|T2028|2019-05|1167|58349|3810488.39
10762,billing_npi;servicing_npi,A514465200|A514465200|T2028|2019-06|1200|43695|3791423.55
10818,billing_npi;servicing_npi,A236660300|A236660300|T2028|2019-08|1112|58278|3779657.19
10987,billing_npi;servicing_npi,A236660300|A236660300|T2028|2019-07|1104|58454|3745016.69
11395,billing_npi;servicing_npi,A514465200|A514465200|T2028|2019-08|1174|32611|3657767.87
11453,billing_npi;servicing_npi,A544125100|A544125100|T2028|2018-05|1082|35670|3647330.71
11469,billing_npi;servicing_npi,A544125100|A544125100|T2028|2018-10|1109|39086|3643129.72
11619,billing_npi;servicing_npi,A544125100|A544125100|T2028|2018-06|1095|33694|3612381.42
11673,billing_npi;servicing_npi,A542640100|A542640100|T2028|2019-09|1235|54199|3602470.26
11851,billing_npi;servicing_npi,A542640100|A542640100|T2028|2019-04|1144|57016|3569302.68
11862,billing_npi;servicing_npi,A236660300|A236660300|T2028|2019-09|1119|57435|3565503.91
11908,billing_npi;servicing_npi,A544125100|A544125100|T2028|2018-09|1106|43460|3556918.14
12141,billing_npi;servicing_npi,A236660300|A236660300|T2028|2019-06|1090|55295|3508176.41
12232,billing_npi;servicing_npi,A514465200|A514465200|T2028|2019-04|1146|63252|3492390.11
12347,billing_npi;servicing_npi,A236660300|A236660300|T2028|2019-05|1066|57253|3467522.07
12378,billing_npi;servicing_npi,A544125100|A544125100|T2028|2018-01|1048|9015|3459921.68
12640,billing_npi;servicing_npi,A544125100|A544125100|T2028|2018-03|1057|36290|3404355.06
12954,billing_npi;servicing_npi,A544125100|A544125100|T2028|2018-04|1065|32949|3338574.15
13034,billing_npi;servicing_npi,A747024001|A747024001|T2028|2018-08|984|41177|3322195.92
13287,billing_npi;servicing_npi,A747024001|A747024001|T2028|2018-07|972|39068|3270051.98
13348,billing_npi;servicing_npi,A747024001|A747024001|T2028|2018-10|1010|44278|3257377.96
13625,billing_npi;servicing_npi,A669467502|A669467502|T2028|2018-08|949|51697|3207644.46
13923,billing_npi;servicing_npi,A544125100|A544125100|T2028|2018-02|1053|19416|3159666.22
14019,billing_npi;servicing_npi,A669467502|A669467502|T2028|2018-10|980|54944|3141564.78
14075,billing_npi;servicing_npi,A544125100|A544125100|T2028|2018-11|996|33133|3131670.04
14098,billing_npi;servicing_npi,A747024001|A747024001|T2028|2018-09|1008|40898|3129094.29
14109,billing_npi;servicing_npi,A236660300|A236660300|T2028|2019-04|1022|53269|3126663.93
14207,billing_npi;servicing_npi,A669467502|A669467502|T2028|2018-07|926|50324|3112474.82
14291,billing_npi;servicing_npi,A747024001|A747024001|T2028|2018-06|955|36333|3097157.25
14315,billing_npi;servicing_npi,A747024001|A747024001|T2028|2018-05|925|37575|3094110.14
14792,servicing_npi,1477628758|A423525800|S5140|2022-05|269|8742|3012410.78
14824,billing_npi;servicing_npi,A669467502|A669467502|T2028|2018-09|972|50362|3008673.65
15175,billing_npi;servicing_npi,A342131700|A342131700|T2028|2019-02|1069|51536|2949565.77
15179,billing_npi;servicing_npi,A669467502|A669467502|T2028|2018-06|925|48450|2949147.10
15277,billing_npi;servicing_npi,A669467502|A669467502|T2028|2018-05|909|50277|2934642.77
15329,billing_npi;servicing_npi,A747024001|A747024001|T2028|2018-11|904|38705|2925816.05
15369,billing_npi;servicing_npi,A747024001|A747024001|T2028|2018-03|894|35260|2919284.26
15480,billing_npi;servicing_npi,A514465200|A514465200|T2028|2019-09|1103|25586|2902081.93
15616,servicing_npi,1477628758|A423525800|S5140|2022-06|263|8490|2883038.67
15760,billing_npi;servicing_npi,A747024001|A747024001|T2028|2018-04|898|35053|2861542.35
15799,servicing_npi,1477628758|A423525800|S5140|2022-04|266|8574|2856047.17
15959,billing_npi;servicing_npi,A747024001|A747024001|T2028|2018-01|865|32197|2834221.21
16017,servicing_npi,1477628758|A423525800|S5140|2022-03|273|9066|2824373.86
16146,billing_npi;servicing_npi,M917673800|A105422800|T2028|2019-08|735|42446|2809347.94
16172,billing_npi;servicing_npi,A981940000|A981940000|T2028|2019-02|1024|61217|2804753.77
16348,billing_npi;servicing_npi,A014098800|A105422800|T2028|2018-08|720|39818|2778537.38
16406,servicing_npi,1477628758|A423525800|S5140|2022-01|275|17073|2771825.27
16450,billing_npi;servicing_npi,A544125100|A544125100|T2028|2018-12|866|26477|2767159.71
16473,billing_npi;servicing_npi,A669467502|A669467502|T2028|2018-03|883|48195|2764629.96
16571,billing_npi;servicing_npi,A014098800|A105422800|T2028|2018-07|710|40157|2750987.85
16590,billing_npi;servicing_npi,M917673800|A105422800|T2028|2019-07|728|46718|2749029.96
16713,billing_npi;servicing_npi,A669467502|A669467502|T2028|2018-04|896|47605|2733322.82
16791,billing_npi;servicing_npi,A981940000|A981940000|T2028|2019-10|2174|40448|2722905.79
16988,servicing_npi,1477628758|A423525800|S5140|2022-07|266|8075|2701071.15
17139,billing_npi;servicing_npi,A744938000|A705719900|T2028|2019-07|750|38616|2681287.37
17153,billing_npi;servicing_npi,A669467502|A669467502|T2028|2018-01|839|7811|2679810.16
17173,billing_npi;servicing_npi,M917673800|A105422800|T2028|2019-06|741|52321|2677406.64
17197,billing_npi;servicing_npi,M917673800|A105422800|T2028|2019-05|739|62275|2674509.95
17253,billing_npi;servicing_npi,A014098800|A105422800|T2028|2018-10|722|43457|2668181.06
17383,billing_npi;servicing_npi,A744938000|A705719900|T2028|2019-08|752|37480|2652491.58
17557,billing_npi;servicing_npi,A236660300|A236660300|T2028|2019-03|853|44665|2632362.23
17710,billing_npi;servicing_npi,A744938000|A705719900|T2028|2019-05|743|39613|2616710.69
17715,billing_npi;servicing_npi,A014098800|A105422800|T2028|2018-05|704|46551|2616527.24
17855,billing_npi;servicing_npi,A014098800|A105422800|T2028|2018-06|714|41495|2600636.18
17858,billing_npi;servicing_npi,A747024001|A747024001|T2028|2018-02|873|30921|2600023.87
17938,billing_npi;servicing_npi,A747024001|A747024001|T2028|2018-12|825|35265|2590679.30
18015,servicing_npi,1477628758|A423525800|S5140|2021-12|274|8846|2581617.60
18047,billing_npi;servicing_npi,A014098800|A105422800|T2028|2018-09|730|40286|2577500.23
18304,servicing_npi,1477628758|A423525800|S5140|2022-02|271|8490|2545848.72
18386,billing_npi;servicing_npi,A000027200|A000027200|T2023|2018-08|3072|3086|2536042.72
18536,billing_npi;servicing_npi,A744938000|A705719900|T2028|2019-06|748|37223|2519947.27
18562,billing_npi;servicing_npi,A542640100|A542640100|T2028|2019-03|854|41538|2517130.00
18640,billing_npi;servicing_npi,A000027200|A000027200|T2023|2018-07|3065|3079|2508614.89
18642,billing_npi;servicing_npi,A000027200|A000027200|T2023|2018-04|3123|3141|2508582.93
18687,billing_npi;servicing_npi,A705719901|A705719900|T2028|2018-08|706|36124|2503248.51
18710,billing_npi;servicing_npi,A705719901|A705719900|T2028|2018-10|711|37961|2501398.22
18743,billing_npi;servicing_npi,A744938000|A705719900|T2028|2019-04|734|38109|2497047.53
18754,billing_npi;servicing_npi,A000027200|A000027200|T2023|2018-10|2963|2984|2496241.87
18840,billing_npi;servicing_npi,A705719901|A705719900|T2028|2018-07|697|36112|2486867.43
18911,billing_npi;servicing_npi,A000027200|A000027200|T2023|2018-11|2890|2901|2479369.47
18942,billing_npi;servicing_npi,A669467502|A669467502|T2028|2018-11|903|43278|2476789.09
18979,billing_npi;servicing_npi,A000027200|A000027200|T2023|2019-03|2938|2951|2474046.54
19015,billing_npi;servicing_npi,A000027200|A000027200|T2023|2019-04|2941|2954|2469871.63
19157,billing_npi;servicing_npi,M917673800|A105422800|T2028|2019-09|726|38148|2456013.59
19177,billing_npi;servicing_npi,A000027200|A000027200|T2023|2019-01|2877|2888|2454722.56
19238,billing_npi;servicing_npi,M917673800|A105422800|T2028|2019-04|725|71451|2448403.10
19304,billing_npi;servicing_npi,A000027200|A000027200|T2023|2018-03|3038|3057|2441896.60
19329,billing_npi;servicing_npi,A000027200|A000027200|T2023|2018-05|3078|3093|2440241.73
19354,billing_npi;servicing_npi,A000027200|A000027200|T2023|2018-06|3099|3119|2437160.10
19436,billing_npi;servicing_npi,A744938000|A705719900|T2028|2019-09|753|35371|2428756.58
19468,billing_npi;servicing_npi,A014098800|A105422800|T2028|2018-04|696|42672|2424122.03
19485,billing_npi;servicing_npi,A000027200|A000027200|T2023|2018-01|2994|3011|2422582.32
19505,billing_npi;servicing_npi,A000027200|A000027200|T2023|2018-02|2996|3013|2420034.80
19533,billing_npi;servicing_npi,A000027200|A000027200|T2023|2019-05|2867|2878|2417938.92
19544,billing_npi;servicing_npi,A000027200|A000027200|T2023|2019-07|2661|2671|2416722.81
19574,billing_npi;servicing_npi,A000027200|A000027200|T2023|2018-12|2833|2845|2413730.44
