state,weight,measures,low_count,medium_count,high_count,unclassified_count,excluded_count,unusable_count
AK,0.9082,1830,1322,114,67,327,0,75
AL,0.9006,1801,1211,187,102,301,0,104
AR,0.9096,1505,1031,151,158,165,249,151
AZ,0.9156,1728,1152,291,118,167,83,94
CA,0.9113,1539,969,307,147,116,166,200
CO,0.9210,1786,1278,198,126,184,0,119
CT,0.8887,1670,1092,125,141,312,166,69
DC,0.9279,1813,1338,187,126,162,0,92
DE,0.9369,1835,1451,130,53,201,0,70
FL,0.8994,1765,1118,271,135,241,0,140
GA,0.9283,1556,1171,142,70,173,166,183
GU,0.7083,576,136,30,5,405,0,24
HI,0.9219,1739,1255,201,76,207,83,83
IA,0.9317,1630,1225,156,117,132,166,109
ID,0.9140,1566,1087,179,121,179,166,173
IL,0.9128,1732,1173,228,156,175,0,173
IN,0.9336,1750,1326,170,109,145,83,72
KS,0.9227,1754,1311,116,127,200,0,151
KY,0.9255,1762,1260,233,113,156,83,60
LA,0.9326,1656,1268,123,128,137,166,83
MA,0.9167,1727,1153,263,200,111,83,95
MD,0.9257,1702,1209,258,62,173,0,203
ME,0.8905,1816,1150,213,143,310,0,89
MI,0.9415,1634,1277,154,87,116,166,105
MN,0.9245,1587,1138,200,98,151,166,152
MO,0.9033,1571,1031,213,109,218,166,168
MS,0.9235,1636,1237,115,57,227,166,103
MT,0.9036,1815,1252,142,147,274,0,90
NC,0.9156,1779,1281,139,143,216,0,126
ND,0.9282,1782,1326,186,80,190,0,123
NE,0.9085,1725,1168,189,177,191,0,180
NH,0.9179,1825,1278,208,169,170,0,80
NJ,0.9137,1660,1125,213,175,147,166,79
NM,0.9368,1834,1416,185,50,183,0,71
NV,0.9299,1812,1366,151,137,158,0,93
NY,0.9188,1572,1032,310,109,121,166,167
OH,0.9194,1780,1234,252,119,175,83,42
OK,0.9117,1768,1244,164,125,235,83,54
OR,0.9322,1579,1175,173,113,118,166,160
PA,0.9254,1612,1125,243,138,106,166,127
PR,0.8072,1627,721,140,137,629,166,112
RI,0.8917,1706,1026,245,260,175,0,199
SC,0.9172,1689,1206,175,96,212,83,133
SD,0.9046,1650,1174,89,107,280,166,89
TN,0.9056,1624,1144,114,102,264,166,115
TX,0.9057,1719,1108,263,166,182,83,103
UT,0.9164,1597,1081,235,142,139,166,142
VA,0.9184,1730,1234,168,152,176,83,92
VI,0.8070,1502,683,115,90,614,332,71
VT,0.8860,1641,1045,154,129,313,166,98
WA,0.9233,1729,1230,195,182,122,83,93
WI,0.9104,1794,1219,214,158,203,0,111
WV,0.9277,1674,1217,215,81,161,166,65
WY,0.8937,1643,1111,112,102,318,166,96
